Settlement Location,InferredLocationType,est_Latitude,est_Longitude
ANTELOPE,Resource,33.83481549266245,-101.82850264220187
BUFFALO_DUNES_WIND,Resource,37.623395531655675,-101.11614632926158
GOODWELL_WIND,Resource,36.55548739833105,-101.57237483210399
GSEC_SPS,Load,35.18482962517204,-102.88799075358749
GSPWR,Resource,35.270293698173674,-102.7086144368873
MSTNG,Resource,32.977206622255416,-102.73568537613063
MSTNG4,Resource,32.97727280255366,-102.78258839327863
MSTNG5,Resource,32.980548824160344,-102.69859019147694
MSTNG6,Resource,32.96550566519761,-102.74761899801335
NEE_MAJESTIC2,Resource,35.389977672190994,-101.60869821341188
SPA,Interface,36.34166846446095,-91.36174581348311
SPC,Interface,49.119063112998475,-103.33692460052579
SPPNORTH_HUB,Hub,41.35331246369719,-97.01746954338594
SPPSOUTH_HUB,Hub,35.42249460110404,-97.80576455539611
SPRM_JRCT1,Resource,37.081087363368304,-93.2547916159168
SPRM_JRCT2,Resource,37.11499033754508,-93.25199155787834
SPRM_MCCT1,Resource,37.252222860011855,-93.14910730320204
SPRM_MCCT2,Resource,37.258956834519,-93.37893933589751
SPRM_NIXA,Load,37.14216276233588,-93.48468200636658
SPRM_SPRM,Load,37.22479518286514,-93.37671961673243
SPRM_SWCT1,Resource,37.20013414873109,-94.22089371439691
SPRM_SWCT2,Resource,37.16785192285844,-94.23336037756934
SPRM_SWPS1,Resource,36.954741525307895,-94.23768736633473
SPRM_SWPS2,Resource,37.15975087368469,-94.27027685400988
SPS.BCW1.BCW1,Resource,34.02922103470087,-102.6761756490052
SPS.BETH.BETH,Resource,34.55558306633536,-102.47516547866326
SPS.BLACKHAWK1,Resource,35.69526772929434,-101.35033775016738
SPS.BLACKHAWK2,Resource,35.67840491172862,-101.34764218992481
SPS.BONITA.LORENZO.WND,Resource,33.68548203132069,-101.548718517929
SPS.BONITA.WILDCAT.WND,Resource,33.53563561764474,-102.96904795671279
SPS.CAPRKWND1,Resource,34.961410632761115,-103.3260403400949
SPS.CHAVES.SLR,Resource,33.456645072442086,-104.40954807221047
SPS.CIRRUSWIND,Resource,33.014942988584366,-101.69611418297643
SPS.CUNNGHAM1,Resource,32.72565741182078,-103.39256549847735
SPS.CUNNGHAM2,Resource,32.728121152619245,-103.40528957084892
SPS.CUNNGHAM3,Resource,32.72607507538006,-103.38944116633064
SPS.CUNNGHAM4,Resource,32.69175616154977,-103.33737641881739
SPS.ENGCARBON1,Resource,35.66579411141748,-101.41836988124778
SPS.GBTL.BETHEL,Resource,34.55896841332206,-102.48947351119567
SPS.GGPO.STOCKYARD10_11,Resource,35.247722677807005,-101.55741790761435
SPS.GGPO.STOCKYARD4,Resource,36.43137708766486,-101.34306596581314
SPS.GGPO.STOCKYARD5_6,Resource,36.45354458566677,-101.83978863856598
SPS.GGPO.STOCKYARD7_8,Resource,35.19831992129081,-101.91792562885672
SPS.GGPO.STOCKYARD9,Resource,35.42443020536018,-101.65733156907665
SPS.GPW1.GREATPLNS,Resource,36.502171267099655,-101.42543606872775
SPS.GPWA.GPWA,Resource,36.48551779650939,-101.41413983248097
SPS.GPWB.GPWB,Resource,36.46728313200855,-101.40476288537513
SPS.GPWC.GPWC,Resource,36.51351784864844,-101.40316868587212
SPS.GRVW.GRVW,Resource,36.44441850826451,-101.38406557190979
SPS.GSEC.ANT2,Resource,33.85317382830359,-101.825155641244
SPS.GSEC.ANT3,Resource,33.859396369738036,-101.85134505432448
SPS.GSEC.ELK1,Resource,33.848130439976835,-101.85079011516106
SPS.GSEC.ELK2,Resource,33.85623574092351,-101.86259083191206
SPS.HALE.WND,Resource,33.90110656362579,-101.7387883432224
SPS.HARRNGTN1,Resource,35.341116122286834,-101.73528079811871
SPS.HARRNGTN2,Resource,35.27616112935591,-101.77674350308052
SPS.HARRNGTN3,Resource,35.2967377361154,-101.73383707857913
SPS.HMWI.HMWI,Resource,35.37911637735919,-101.54582074445875
SPS.HOBBS.CC,Resource,32.681565479996664,-103.3089960901577
SPS.JONES1,Resource,33.51615364984556,-101.7555237654395
SPS.JONES2,Resource,33.525384934716136,-101.71874364010783
SPS.JONES3,Resource,33.548773202194866,-101.74956983723209
SPS.JONES4,Resource,33.524383790739904,-101.7264609771602
SPS.LCEC.STERLINGWIND,Resource,33.35083493486557,-103.26135247046868
SPS.MADDOX1,Resource,32.71704904014304,-103.29675492674693
SPS.MADDOXCT2,Resource,32.70705175127051,-103.27648278965688
SPS.NICHOLS1,Resource,35.286559147043704,-101.74838594093768
SPS.NICHOLS2,Resource,35.28278865229356,-101.70661930102612
SPS.NICHOLS3,Resource,35.30028967329563,-101.78337842316088
SPS.ORPLFRISCO,Resource,36.4933211702647,-101.59658459171834
SPS.ORPLNOVUS,Hub,36.492307030675605,-101.42450888970717
SPS.ORPLPRN1_2,Resource,35.9171584202151,-101.55893717015041
SPS.PANTEXWND,Resource,35.34642854318115,-101.5496228715992
SPS.PLANTX1,Resource,34.14276742977633,-102.40317420604543
SPS.PLANTX2,Resource,34.16241139180331,-102.42215795007448
SPS.PLANTX3,Hub,34.14623830564067,-102.39689721387461
SPS.PLANTX4,Resource,34.19031806299274,-102.41493459281517
SPS.PLSNTHLWND,Resource,33.72402752071658,-101.50318423227912
SPS.QUAYCNTY,Resource,35.182370480418896,-103.7341112859949
SPS.RALLSWIND,Resource,33.66335830434329,-101.38884903420384
SPS.RICHRDSN1,Resource,35.664707465125105,-101.46741996322852
SPS.ROSVELTWND,Resource,33.88803338333833,-103.51957931376113
SPS.ROSWLL.SLR,Resource,33.465013710509716,-104.46581231409468
SPS.SAGAMORE.WND,Resource,33.94161083417894,-103.16050739602646
SPS.SJUANWIND1,Resource,33.96581706867475,-103.82532039283275
SPS.SPINSPUR,Resource,35.23628162167878,-102.22492435857136
SPS.SUNE_SPS1,Resource,32.13942807212169,-103.13290401689146
SPS.SUNE_SPS2,Resource,32.194296933143185,-103.20042061117573
SPS.SUNE_SPS3,Resource,32.495120649016904,-103.31544168593918
SPS.SUNE_SPS4,Resource,32.68135370745869,-103.29511606395566
SPS.SUNE_SPS5,Resource,32.36857663565653,-104.23150808004426
SPS.SWBD.BD,Resource,37.625189688716695,-101.11738396034936
SPS.TNSK.LLANOWIND1UNIT,Resource,35.49060323293354,-101.25427951447124
SPS.TOLK1,Resource,34.183787486065214,-102.56405427228037
SPS.TOLK2,Resource,34.18965847888436,-102.53920841061391
SPS.TPS4.MILO,Resource,33.91141726069589,-103.35740587489403
SPS.VOLT.0005,Resource,33.31504123904394,-103.20191514056434
SPS.VOLT.0006,Resource,32.540141401442696,-103.67116412813594
SPS.VOLT.0023,Resource,33.78206519565478,-103.1454838134838
SPS.VOLT.0024,Resource,33.38998128908827,-103.18133488215918
